,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,Wsets,Lsets,Comment,PSW,PSL,elo_winner,elo_loser,proba_elo,recentft0,recentft1,recentft2,recentft3,recentft4,recentft5,recentft6
0,1.0,Brisbane,Brisbane International,2011-01-02,ATP250,Outdoor,Hard,1st Round,3.0,Lopez F.,Petzschner P.,32.0,57.0,2.0,0.0,Completed,1.67,2.33,1500.0,1500.0,0.5,,,,,,,
1,1.0,Brisbane,Brisbane International,2011-01-02,ATP250,Outdoor,Hard,1st Round,3.0,Istomin D.,De Bakker T.,40.0,43.0,2.0,0.0,Completed,2.12,1.79,1500.0,1500.0,0.5,,,,,,,
2,3.0,Doha,Qatar Exxon Mobil Open,2011-01-03,ATP250,Outdoor,Hard,1st Round,3.0,Davydenko N.,Fognini F.,22.0,55.0,2.0,0.0,Completed,1.21,4.96,1500.0,1500.0,0.5,,,,,,,
3,3.0,Doha,Qatar Exxon Mobil Open,2011-01-03,ATP250,Outdoor,Hard,1st Round,3.0,Marchenko I.,Zverev M.,81.0,82.0,2.0,0.0,Completed,1.79,2.13,1500.0,1500.0,0.5,,,,,,,
4,3.0,Doha,Qatar Exxon Mobil Open,2011-01-03,ATP250,Outdoor,Hard,1st Round,3.0,Bubka S.,Gimeno-Traver D.,321.0,56.0,2.0,0.0,Completed,4.55,1.24,1500.0,1500.0,0.5,,,,,,,
5,2.0,Chennai,Chennai Open,2011-01-03,ATP250,Outdoor,Hard,1st Round,3.0,Tipsarevic J.,Schwank E.,49.0,74.0,2.0,0.0,Completed,1.2,5.18,1500.0,1500.0,0.5,,,,,,,
6,2.0,Chennai,Chennai Open,2011-01-03,ATP250,Outdoor,Hard,1st Round,3.0,Dodig I.,Daniel M.,88.0,96.0,2.0,0.0,Completed,1.37,3.35,1500.0,1500.0,0.5,,,,,,,
7,2.0,Chennai,Chennai Open,2011-01-03,ATP250,Outdoor,Hard,1st Round,3.0,Robert S.,Haider-Maurer A.,122.0,119.0,2.0,0.0,Completed,2.54,1.57,1500.0,1500.0,0.5,,,,,,,
8,2.0,Chennai,Chennai Open,2011-01-03,ATP250,Outdoor,Hard,1st Round,3.0,Nishikori K.,Cilic M.,98.0,14.0,2.0,1.0,Completed,3.29,1.37,1500.0,1500.0,0.5,,,,,,,
9,2.0,Chennai,Chennai Open,2011-01-03,ATP250,Outdoor,Hard,1st Round,3.0,Phau B.,Bolelli S.,102.0,107.0,2.0,0.0,Completed,1.8,2.11,1500.0,1500.0,0.5,,,,,,,
10,2.0,Chennai,Chennai Open,2011-01-03,ATP250,Outdoor,Hard,1st Round,3.0,Kendrick R.,Gremelmayr D.,115.0,121.0,2.0,0.0,Completed,1.54,2.64,1500.0,1500.0,0.5,,,,,,,
11,3.0,Doha,Qatar Exxon Mobil Open,2011-01-03,ATP250,Outdoor,Hard,1st Round,3.0,Tsonga J.W.,Ramirez-Hidalgo R.,13.0,77.0,2.0,0.0,Completed,1.06,11.28,1500.0,1500.0,0.5,,,,,,,
12,3.0,Doha,Qatar Exxon Mobil Open,2011-01-03,ATP250,Outdoor,Hard,1st Round,3.0,Garcia-Lopez G.,Kukushkin M.,33.0,59.0,2.0,0.0,Completed,1.61,2.44,1500.0,1500.0,0.5,,,,,,,
13,1.0,Brisbane,Brisbane International,2011-01-03,ATP250,Outdoor,Hard,1st Round,3.0,Roddick A.,Matosevic M.,8.0,138.0,2.0,0.0,Completed,1.09,8.65,1500.0,1500.0,0.5,,,,,,,
14,1.0,Brisbane,Brisbane International,2011-01-03,ATP250,Outdoor,Hard,1st Round,3.0,Berrer M.,Sela D.,58.0,75.0,2.0,1.0,Completed,1.98,1.91,1500.0,1500.0,0.5,,,,,,,
15,1.0,Brisbane,Brisbane International,2011-01-03,ATP250,Outdoor,Hard,1st Round,3.0,Kubot L.,Brands D.,70.0,104.0,2.0,0.0,Completed,1.78,2.15,1500.0,1500.0,0.5,,,,,,,
16,1.0,Brisbane,Brisbane International,2011-01-03,ATP250,Outdoor,Hard,1st Round,3.0,Mayer F.,Tomic B.,37.0,208.0,2.0,0.0,Completed,1.41,3.1,1500.0,1500.0,0.5,,,,,,,
17,1.0,Brisbane,Brisbane International,2011-01-03,ATP250,Outdoor,Hard,1st Round,3.0,Giraldo S.,Simon G.,64.0,41.0,2.0,0.0,Completed,3.82,1.3,1500.0,1500.0,0.5,,,,,,,
