ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best Of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,WSets,LSets,Comment,PSW,PSL
1,Doha,Qatar ExxonMobil Open,01/03/2019,ATP250,Outdoor,Hard,Quarterfinals,3,Djokovic N.,Basilashvili N.,1,21,,,4,6,6,3,6,4,,,,,2,1,Completed,1.08,9.1
1,Doha,Qatar ExxonMobil Open,01/03/2019,ATP250,Outdoor,Hard,Quarterfinals,3,Cecchinato M.,Lajovic D.,20,48,,,7,6,6,2,,,,,,,2,0,Completed,2.57,1.53
1,Doha,Qatar ExxonMobil Open,01/03/2019,ATP250,Outdoor,Hard,Quarterfinals,3,Bautista Agut R.,Wawrinka S.,24,66,,,6,4,6,4,,,,,,,2,0,Completed,,
1,Doha,Qatar ExxonMobil Open,01/03/2019,ATP250,Outdoor,Hard,Quarterfinals,3,Berdych T.,Herbert P.H.,71,55,,,6,2,6,4,,,,,,,2,0,Completed,,
1,Doha,Qatar ExxonMobil Open,01/02/2019,ATP250,Outdoor,Hard,Round of 16,3,Djokovic N.,Fucsovics M.,1,36,,,4,6,6,4,6,1,,,,,2,1,Completed,1.03,13.09
1,Doha,Qatar ExxonMobil Open,01/02/2019,ATP250,Outdoor,Hard,Round of 16,3,Cecchinato M.,Pella G.,20,58,,,,,,,,,,,,,0,0,Walkover,2.02,1.79
1,Doha,Qatar ExxonMobil Open,01/02/2019,ATP250,Outdoor,Hard,Round of 16,3,Basilashvili N.,Rublev A.,21,68,,,6,3,6,4,,,,,,,2,0,Completed,2.01,1.81
1,Doha,Qatar ExxonMobil Open,01/02/2019,ATP250,Outdoor,Hard,Round of 16,3,Bautista Agut R.,Garcia-Lopez G.,24,105,,,6,1,6,4,,,,,,,2,0,Completed,,
1,Doha,Qatar ExxonMobil Open,01/02/2019,ATP250,Outdoor,Hard,Round of 16,3,Berdych T.,Verdasco F.,71,28,,,4,6,6,3,7,5,,,,,2,1,Completed,1.7,2.18
1,Doha,Qatar ExxonMobil Open,01/02/2019,ATP250,Outdoor,Hard,Round of 16,3,Herbert P.H.,Marterer M.,55,74,,,6,3,6,7,7,6,,,,,2,1,Completed,,
1,Doha,Qatar ExxonMobil Open,01/02/2019,ATP250,Outdoor,Hard,Round of 16,3,Lajovic D.,Berankis R.,48,116,,,7,6,0,6,7,5,,,,,2,1,Completed,1.72,2.13
1,Doha,Qatar ExxonMobil Open,01/02/2019,ATP250,Outdoor,Hard,Round of 16,3,Wawrinka S.,Jarry N.,66,43,,,6,4,7,6,,,,,,,2,0,Completed,1.37,3.11
1,Doha,Qatar ExxonMobil Open,01/01/2019,ATP250,Outdoor,Hard,Round of 32,3,Djokovic N.,Dzumhur D.,1,47,,,6,1,6,2,,,,,,,2,0,Completed,1.03,13.43
1,Doha,Qatar ExxonMobil Open,01/01/2019,ATP250,Outdoor,Hard,Round of 32,3,Herbert P.H.,Thiem D.,55,8,,,6,3,7,5,,,,,,,2,0,Completed,,
1,Doha,Qatar ExxonMobil Open,01/01/2019,ATP250,Outdoor,Hard,Round of 32,3,Wawrinka S.,Khachanov K.,66,11,,,7,6,6,4,,,,,,,2,0,Completed,2.92,1.41
1,Doha,Qatar ExxonMobil Open,01/01/2019,ATP250,Outdoor,Hard,Round of 32,3,Cecchinato M.,Stakhovsky S.,20,134,,,6,4,6,2,,,,,,,2,0,Completed,2.19,1.69
1,Doha,Qatar ExxonMobil Open,01/01/2019,ATP250,Outdoor,Hard,Round of 32,3,Berankis R.,Goffin D.,116,22,,,3,6,6,4,7,6,,,,,2,1,Completed,3.35,1.33
1,Doha,Qatar ExxonMobil Open,01/01/2019,ATP250,Outdoor,Hard,Round of 32,3,Fucsovics M.,Copil M.,36,60,,,6,3,6,2,,,,,,,2,0,Completed,1.64,2.28
1,Doha,Qatar ExxonMobil Open,01/01/2019,ATP250,Outdoor,Hard,Round of 32,3,Garcia-Lopez G.,Shannan Zayid M.,105,0,,,6,1,6,3,,,,,,,2,0,Completed,,
1,Doha,Qatar ExxonMobil Open,01/01/2019,ATP250,Outdoor,Hard,Round of 32,3,Lajovic D.,Mannarino A.,48,42,,,6,3,7,6,,,,,,,2,0,Completed,1.72,2.12
1,Doha,Qatar ExxonMobil Open,01/01/2019,ATP250,Outdoor,Hard,Round of 32,3,Pella G.,Ilkel C.,58,249,,,7,6,6,3,,,,,,,2,0,Completed,1.2,4.56
1,Doha,Qatar ExxonMobil Open,12/31/2018,ATP250,Outdoor,Hard,Round of 32,3,Basilashvili N.,Ramos-Vinolas A.,21,65,,,6,1,1,6,6,1,,,,,2,1,Completed,,
1,Doha,Qatar ExxonMobil Open,12/31/2018,ATP250,Outdoor,Hard,Round of 32,3,Bautista Agut R.,Berrettini M.,24,54,,,6,1,6,4,,,,,,,2,0,Completed,,
1,Doha,Qatar ExxonMobil Open,12/31/2018,ATP250,Outdoor,Hard,Round of 32,3,Verdasco F.,Lorenzi P.,28,109,,,6,3,6,4,,,,,,,2,0,Completed,1.24,4.15
1,Doha,Qatar ExxonMobil Open,12/31/2018,ATP250,Outdoor,Hard,Round of 32,3,Berdych T.,Kohlschreiber P.,71,34,,,6,4,7,6,,,,,,,2,0,Completed,2.54,1.55
