
Marterer M.,2018.12.24,74
Arnaboldi A.,2018.12.24,176
Basic M.,2018.12.24,87
Bachinger M.,2018.12.24,130
Garcia-Lopez G.,2018.12.24,105
Ward J.,2018.12.24,186
Lorenzi P.,2018.12.24,109
Al-Mutawa J.,2018.12.24,0
Berankis R.,2018.12.24,116
Novak D.,2018.12.24,140
Trungelliti M.,2018.12.24,123
Shanan Zayed M.,2018.12.24,0
Baghdatis M.,2018.12.24,124
Rosol L.,2018.12.24,142
Stakhovsky S.,2018.12.24,134
Marco Moroni G.,2018.12.24,226
Eubanks C.,2018.12.24,170
Klahn B.,2018.12.24,76
Daniel T.,2018.12.24,77
Smith J.,2018.12.24,193
Garin C.,2018.12.24,84
O'Connell C.,2018.12.24,0
Polmans M.,2018.12.24,166
Opelka R.,2018.12.24,99
Humbert U.,2018.12.24,102
Ellis B.,2018.12.24,352
Kokkinakis T.,2018.12.24,146
Polansky P.,2018.12.24,119
Kecmanovic M.,2018.12.24,131
Banes M.,2018.12.24,297
Uchiyama Y.,2018.12.24,185
Fratangelo B.,2018.12.24,136
Auger-Aliassime F.,2018.12.24,108
Arevalo M.,2018.12.24,220
Ofner S.,2018.12.24,179
Bemelmans R.,2018.12.24,117
Monteiro T.,2018.12.24,120
Brands D.,2018.12.24,182
Myneni S.,2018.12.24,259
Jung J.,2018.12.24,121
Bolelli S.,2018.12.24,141
Schnur B.,2018.12.24,172
Hoang A.,2018.12.24,149
Martin A.,2018.12.24,183
Quinzi G.,2018.12.24,155
Kumar Mukund S.,2018.12.24,295
Gerasimov E.,2018.12.24,157
Gimeno-Traver D.,2018.12.24,189
Bautista Agut R.,2018.12.31,24
Berdych T.,2018.12.31,71
Djokovic N.,2018.12.31,1
Cecchinato M.,2018.12.31,20
Basilashvili N.,2018.12.31,21
Lajovic D.,2018.12.31,48
Wawrinka S.,2018.12.31,66
Herbert P.,2018.12.31,55
Fucsovics M.,2018.12.31,36
Pella G.,2018.12.31,58
Rublev A.,2018.12.31,68
Garcia-Lopez G.,2018.12.31,105
Verdasco F.,2018.12.31,28
Marterer M.,2018.12.31,74
Berankis R.,2018.12.31,116
Jarry N.,2018.12.31,43
Dzumhur D.,2018.12.31,47
Thiem D.,2018.12.31,8
Khachanov K.,2018.12.31,11
Stakhovsky S.,2018.12.31,134
Goffin D.,2018.12.31,22
Copil M.,2018.12.31,60
Shannan Zayid M.,2018.12.31,0
Mannarino A.,2018.12.31,42
Ilkel C.,2018.12.31,249
Ramos-Vinolas A.,2018.12.31,65
Berrettini M.,2018.12.31,54
Lorenzi P.,2018.12.31,109
Kohlschreiber P.,2018.12.31,34
Haase R.,2018.12.31,50
Gojowczyk P.,2018.12.31,59
Seppi A.,2018.12.31,37
Nishikori K.,2018.12.31,9
Medvedev D.,2018.12.31,16
Chardy J.,2018.12.31,40
Tsonga J.,2018.12.31,239
Raonic M.,2018.12.31,18
de Minaur A.,2018.12.31,31
Herbert P-H.,2018.12.31,55
Tsonga J-W.,2018.12.31,239
Uchiyama Y.,2018.12.31,185
Dimitrov G.,2018.12.31,19
Kyrgios N.,2018.12.31,35
Struff J.,2018.12.31,57
Kudla D.,2018.12.31,63
Murray A.,2018.12.31,240
Thompson J.,2018.12.31,72
Kecmanovic M.,2018.12.31,131
Millman J.,2018.12.31,38
Anderson K.,2018.12.31,6
Karlovic I.,2018.12.31,100
Simon G.,2018.12.31,30
Gulbis E.,2018.12.31,95
Jaziri M.,2018.12.31,45
Paire B.,2018.12.31,52
Munar J.,2018.12.31,81
Bolelli S.,2018.12.31,141
Djere L.,2018.12.31,93
Ivashka I.,2018.12.31,91
Ramanathan R.,2018.12.31,132
Vesely J.,2018.12.31,89
Donskoy E.,2018.12.31,97
Mmoh M.,2018.12.31,103
Nishioka Y.,2018.12.31,75
Daniel T.,2018.12.31,77
Opelka R.,2018.12.31,99
Garin C.,2018.12.31,84
Klahn B.,2018.12.31,76
McDonald M.,2018.12.31,78
Cuevas P.,2018.12.31,88
Fabbiano T.,2018.12.31,101
Humbert U.,2018.12.31,102
Marcora R.,2018.12.31,290
Herbert P.H.,2018.12.31,55
Tsonga J.W.,2018.12.31,239
Edmund K.,2018.12.31,14
Popyrin A.,2018.12.31,147
Harrison R.,2018.12.31,62
Struff J.L.,2018.12.31,57
Fritz T.,2018.12.31,49
Duckworth J.,2018.12.31,234
Bolt A.,2018.12.31,154
Kokkinakis T.,2018.12.31,146
Bedene A.,2018.12.31,67
Mayer L.,2018.12.31,56
Sandgren T.,2018.12.31,61
Smith J.P.,2018.12.24,193
Chung H.,2018.12.31,25
Monteiro T.,2018.12.31,120
Istomin D.,2018.12.31,92
Kadhe A.,2018.12.31,392
Hurkacz H.,2018.12.31,86
Auger-Aliassime F.,2018.12.31,108
Granollers M.,2018.12.31,96
Hoang A.,2018.12.31,149
Carballes Baena R.,2018.12.31,73
Albot R.,2018.12.31,98
Andujar P.,2018.12.31,82
Sousa P.,2018.12.31,104
Gunneswaran P.,2018.12.31,110
