match_index,Player1 Odds,Player2 Odds,correct_prediction,confidence,Confidence_Player1_Wins,Confidence_Player2_Wins,date,Player1,Player2
29344,1.08,8.66,1,0.714961076,0.662000996,0.047807062,19/01/2019,Zverev A.,Bolt A.
29340,6.66,1.12,0,0.821951269,0.046269313,0.733885062,19/01/2019,Sousa J.,Nishikori K.
29337,1.04,12.56,1,0.81187731,0.780651259,0.058722295,19/01/2019,Djokovic N.,Shapovalov D.
29342,2.75,1.48,0,0.905965047,0.144340672,0.612138546,19/01/2019,Goffin D.,Medvedev D.
29339,5.17,1.18,0,0.478303905,0.082927182,0.405342293,19/01/2019,Herbert P.H.,Raonic M.
29343,1.43,2.89,0,0.568709104,0.156112028,0.196785157,19/01/2019,Pouille L.,Popyrin A.
29341,1.2,4.86,1,0.469536002,0.391280001,0.108852153,19/01/2019,Coric B.,Krajinovic F.
29338,1.71,2.19,1,0.258292103,0.151048014,0.06426599,19/01/2019,Fognini F.,Carreno Busta P.
29335,10.74,1.06,0,0.876401051,0.044113448,0.826793444,18/01/2019,Fritz T.,Federer R.
29330,2.59,1.53,0,0.868787454,0.134947361,0.567834938,18/01/2019,Bautista Agut R.,Khachanov K.
29334,7.1,1.11,0,0.824395801,0.079918748,0.74269892,18/01/2019,de Minaur A.,Nadal R.
29332,1.26,4.09,1,0.716014103,0.568265161,0.106667513,18/01/2019,Berdych T.,Schwartzman D.
29331,1.09,8.1,1,0.811457227,0.744456172,0.035799148,18/01/2019,Dimitrov G.,Fabbiano T.
29336,1.29,3.79,1,0.538702939,0.417599177,0.139154753,18/01/2019,Cilic M.,Verdasco F.
29333,1.37,3.22,1,0.302142797,0.220542187,0.074535312,18/01/2019,Tsitsipas S.,Basilashvili N.
29329,2,1.84,0,0.626424205,0.086396071,0.340447937,18/01/2019,Tiafoe F.,Seppi A.
