5 conf modelling,,,,,,,,,,,1 conf modelling,,,,,,,,,,,,,,
match_index,Pinnacle_Odds,correct_prediction,confidence,Confidence_Player1_Wins,Confidence_Player2_Wins,date,Player1,Player2,,,correct_prediction_1confmodel,confidence,Confidence_Player1_Wins,Confidence_Player2_Wins,,,,,,,,,,,
46606,2.24,1,1.385044598,0.618323481,0.337981522,31/12/2017,Dolgopolov O.,Schwartzman D.,,,1,1.662049522,0.741986394,0.237100124,,,,,,,,,,,
46607,3.14,1,2.06753278,0.65844993,0.398209321,31/12/2017,De Minaur A.,Johnson S.,,,1,2.332361298,0.742790222,0.2991153,,,,,,,,,,,
46608,1.41,1,1.125130955,0.797965217,0.200548637,01/01/2018,Verdasco F.,Sela D.,,,1,1.248835638,0.885699034,0.1517663,,,,,,,,,,,
46609,1.73,1,0.955254024,0.552169956,0.379942335,01/01/2018,Ramanathan R.,Carballes Baena R.,,,1,0.816662863,0.472059458,0.276946336,,,,,,,,,,,
46610,1.47,1,1.040684654,0.707948744,0.31157263,01/01/2018,Simon G.,Sandgren T.,,,1,0.790150269,0.53751719,0.235159501,,,,,,,,,,,
46611,1.28,1,1.070939178,0.836671233,0.267559281,01/01/2018,Herbert P.H.,Cecchinato M.,,,1,1.166396484,0.911247253,0.357185245,,,,,,,,,,,
46612,3.27,0,0.98867532,0.225492978,0.716431391,01/01/2018,Ojeda Lara R.,Vesely J.,,,0,0.88078861,0.144576877,0.638252616,,,,,,,,,,,
46613,1.65,1,1.122586901,0.680355698,0.345922351,01/01/2018,Kukushkin M.,Albot R.,,,1,1.034082118,0.626716435,0.32446295,,,,,,,,,,,
46614,1.26,1,0.974789901,0.773642778,0.116297722,01/01/2018,Fucsovics M.,Kicker N.,,,1,0.850582927,0.675065815,0.107164137,,,,,,,,,,,
46615,1.41,1,1.01953282,0.723072922,0.259113151,01/01/2018,Jarry N.,Andujar P.,,,1,0.788022693,0.558881342,0.22106126,,,,,,,,,,,
46616,1.54,1,1.132852759,0.735618675,0.288501853,01/01/2018,Tsitsipas S.,Mayer F.,,,1,1.100045279,0.714315116,0.345023423,,,,,,,,,,,
46617,1.68,1,1.273571926,0.758078527,0.193150927,01/01/2018,Basilashvili N.,Fabbiano T.,,,1,1.4449298,0.860077262,0.096964039,,,,,,,,,,,
46618,1.22,1,0.860652358,0.705452752,0.266184676,01/01/2018,Thiem D.,Donskoy E.,,,1,0.778593583,0.638191462,0.266546011,,,,,,,,,,,
46619,1.54,1,1.143503342,0.742534637,0.254823473,01/01/2018,Rublev A.,Stebe C.M.,,,1,1.022254297,0.663801491,0.257256895,,,,,,,,,,,
46620,2.22,0,1.251851212,0.280805233,0.723613417,01/01/2018,Zeballos H.,Escobedo E.,,,0,0.936953751,0.292482704,0.541591763,,,,,,,,,,,
46621,1.99,1,1.487580397,0.747527838,0.250561759,01/01/2018,Donaldson J.,Thompson J.,,,1,1.58475738,0.796360493,0.1704043,,,,,,,,,,,
46622,1.44,1,0.917583575,0.637210816,0.356858245,01/01/2018,Zverev M.,Smith J.P.,,,1,1.005480852,0.698250592,0.412935346,,,,,,,,,,,
46623,2.38,0,0.910576779,0.421993097,0.555229743,01/01/2018,Ebden M.,Tiafoe F.,,,1,1.299760748,0.546117961,0.384203404,,,,,,,,,,,
46624,1.66,1,1.209376722,0.728540194,0.328917867,01/01/2018,Harrison R.,Mayer L.,,,1,1.170561975,0.705157816,0.326851308,,,,,,,,,,,
46625,2.95,1,1.832078276,0.621043483,0.359844089,02/01/2018,Djere L.,Copil M.,,,1,1.903297666,0.645185649,0.310227424,,,,,,,,,,,
46626,1.57,1,0.917529864,0.584413926,0.24191839,02/01/2018,Lopez F.,Garcia-Lopez G.,,,0,1.179454811,0.433543593,0.462531298,,,,,,,,,,,
46627,2.37,0,1.013455888,0.367991883,0.61421569,02/01/2018,Gojowczyk P.,Krajinovic F.,,,0,1.074715734,0.327804565,0.651342869,,,,,,,,,,,
46628,1.58,1,1.340140498,0.848190188,0.174754573,02/01/2018,Bedene A.,Jaziri M.,,,1,1.308638376,0.828252137,0.277880192,,,,,,,,,,,
46629,2.28,0,1.379810855,0.166407976,0.816456127,02/01/2018,Berrettini M.,Troicki V.,,,0,1.444375357,0.184254169,0.854659975,,,,,,,,,,,
46630,3.27,0,1.137555867,0.190524614,0.824315846,02/01/2018,Struff J.L.,Berdych T.,,,0,1.242603303,0.179773077,0.900437176,,,,,,,,,,,
46631,1.13,1,1.001000088,0.885840786,0.096851429,02/01/2018,Gasquet R.,Estrella Burgos V.,,,1,1.032572852,0.913781285,0.158059821,,,,,,,,,,,
46632,1.26,0,2.398699437,0.418516733,0.571118914,02/01/2018,Basic M.,Haider-Maurer A.,,,1,0.80302866,0.637324333,0.472359091,,,,,,,,,,,
46633,1.98,1,1.262476746,0.637614518,0.225417182,02/01/2018,Pella G.,Ramos-Vinolas A.,,,1,0.828268349,0.418317348,0.127888009,,,,,,,,,,,
46634,1.25,1,1.044137403,0.835309923,0.211729789,02/01/2018,Monfils G.,Lorenzi P.,,,1,1.046611071,0.837288857,0.202902541,,,,,,,,,,,
