match_index,Pinnacle_Odds,correct_prediction,confidence,Confidence_Player1_Wins,Confidence_Player2_Wins,date,Player1,Player2
2750,5.0,1,3.5327922105789185,0.7065584421157837,0.29574547708034515,2019-01-04,Bautista Agut R.,Djokovic N.
2644,1.22,0,3.5009289264678958,0.6186587313810984,0.8335545063018799,2018-12-29,Gerasimov E.,Gimeno-Traver D.
2792,4.3,1,2.859565769135952,0.6650152951478958,0.4401393122971058,2019-01-07,Andreozzi G.,Ebden M.
2702,1.2,0,2.5803605836629866,0.32173557579517365,0.5658685490489006,2019-01-01,Pella G.,Ilkel C.
2670,1.42,0,2.1009338150421777,0.6534034212430319,0.7476632793744405,2018-12-30,Marterer M.,Trungelliti M.
2674,1.52,0,1.9659677995741365,0.588528536260128,0.7770623713731766,2018-12-31,Donskoy E.,Andujar P.
2737,1.57,0,1.965468746423721,0.23574610333889723,0.7925277203321457,2019-01-03,Simon G.,Paire B.
2745,1.62,0,1.9586891788244245,0.2796647362411022,0.8334847569465638,2019-01-03,Chardy J.,Uchiyama Y.
2818,1.58,0,1.9332282218933101,0.08613337427377701,0.7988546371459961,2019-01-09,Schwartzman D.,Garcia-Lopez G.
2718,1.55,0,1.9184767365455626,0.4406552091240883,0.773579329252243,2019-01-02,Paire B.,Vesely J.
2715,3.25,1,1.8992109432816506,0.5843725979328156,0.24423496574163436,2019-01-02,Gulbis E.,Chung H.
2652,3.19,1,1.8439890939990677,0.5780530075232188,0.5114177962144216,2018-12-29,Eubanks C.,Klahn B.
2783,1.6,0,1.842887689590454,0.31305840611457825,0.7875588417053223,2019-01-07,Fritz T.,Copil M.
2808,2.44,1,1.8426732349395751,0.7551939487457275,0.2975739041964213,2019-01-09,Mayer L.,Berrettini M.
2797,1.73,0,1.7877768874168396,0.07790004462003708,0.8432909846305847,2019-01-08,Ferrer D.,Haase R.
2678,1.64,0,1.767280077934265,0.6021242439746857,0.7751228411992391,2018-12-31,Kecmanovic M.,Mayer L.
2743,2.11,1,1.747842757254839,0.8283614963293076,0.24138372670859098,2019-01-03,Bautista Agut R.,Wawrinka S.
2810,2.57,1,1.7392028732299807,0.6767326354980469,0.33374994099140165,2019-01-09,Carreno Busta P.,Ferrer D.
2689,1.35,0,1.7349971234798431,0.23417561128735542,0.5289625376462936,2019-01-01,Murray A.,Duckworth J.
2751,2.05,1,1.715849536657333,0.836999773979187,0.14415786117315293,2019-01-04,Medvedev D.,Raonic M.
2790,1.59,0,1.650662222877145,0.4562319442629814,0.6964819505810738,2019-01-07,Opelka R.,Ramos-Vinolas A.
2698,2.12,1,1.6251944026947023,0.7666011333465577,0.06485399529337883,2019-01-01,Bolelli S.,Istomin D.
2651,1.69,0,1.6003349442481993,0.2828647613525391,0.7478200674057007,2018-12-29,Daniel T.,Smith J.P.
2646,1.78,1,1.5911871988773345,0.8939253926277161,0.1116644449532032,2018-12-29,Myneni S.,Jung J.
2720,2.45,1,1.5753901263078056,0.6430163780848185,0.544025719165802,2019-01-02,Darcis S.,Mmoh M.
2716,1.66,0,1.5545383389790854,0.40517033139864606,0.6939903299013773,2019-01-02,Karlovic I.,Donskoy E.
2649,2.62,1,1.536387096941471,0.5864072889089584,0.3274931516498327,2018-12-29,Polmans M.,Opelka R.
2664,1.73,0,1.5278736877441406,0.11132597923278809,0.7381032307942709,2018-12-30,Hoang A.,Monteiro T.
2654,1.99,1,1.5073059929609298,0.757440197467804,0.1017103724181652,2018-12-29,Berankis R.,Novak D.
2657,1.95,1,1.4899418896436687,0.7640727639198304,0.12359917461872101,2018-12-29,Basic M.,Bachinger M.
2653,1.84,1,1.4816545400619507,0.8052470326423645,0.10360368750989438,2018-12-29,Baghdatis M.,Rosol L.
2775,2.17,1,1.47730822019279,0.6807871982455254,0.24609128199517727,2019-01-06,Garcia-Lopez G.,Bedene A.
2791,1.74,0,1.4681059851249059,0.43202504764000577,0.6957848270734152,2019-01-07,Nishioka Y.,Harrison R.
2820,2.42,1,1.4674907239278159,0.6064011255900065,0.18895778308312097,2019-01-09,Fritz T.,Isner J.
2825,1.81,0,1.461820519924164,0.27987449467182157,0.7165786862373352,2019-01-10,Simon G.,Millman J.
2694,1.89,1,1.4609206166267392,0.7729738712310791,0.22148551642894745,2019-01-01,Vesely J.,Hoang A.
2736,1.85,1,1.4603674434125427,0.7893878072500229,0.6337646171450615,2019-01-03,Darcis S.,Jaziri M.
2785,1.67,0,1.446949310004711,0.33599095046520233,0.6488561928272247,2019-01-07,Norrie C.,Paire B.
2770,1.73,1,1.4350523916880287,0.8295100529988607,0.5493514537811279,2019-01-06,McDonald M.,Djere L.
